id;description;time_sent;token_value;received;actioned;content_fully_enqueued
1;navigate didactic Dynamic;52657;auxiliary Liaison;true;true;true
2;web-readiness Cyprus;25388;olive;true;false;true
3;impactful;56944;THX;true;false;true
4;open-source;98872;Auto Loan Account neural Markets;true;true;false
5;empower;32399;Small deposit microchip;true;false;false
6;COM;64292;circuit Forward;true;false;false
7;navigating;36305;Computers generating;false;false;true
8;magnetic SQL;21951;Consultant back-end Fresh;true;false;true
9;Squares Table Avon;51245;generate;true;true;false
10;purple;64505;methodologies Granite Corporate;true;false;true
