id;title;dealer_name;dealer_address;dealer_phone_number;dealer_email;bank_name;bank_account_number;bank_branch;bank_swift_code;bank_physical_address;domicile;tax_authority_ref
1;MES;Fresh granular Direct;Profit-focused;Jewelery cutting-edge;Games;Iraq Bedfordshire;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms
2;REV;Public-key Granite;Way Dominican Republic;Bulgarian Lev navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages
3;MS;bandwidth azure;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools;Branding
4;MS;invoice Devolved;Computers Bedfordshire Fish;payment calculating;local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local;calculate;Chips
5;MST;Factors;architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek
6;PROF;deposit;extend Unbranded Fresh Pants Tools;Practical North Dakota;implementation;Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up;Iran
7;ENG;Analyst card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;Som Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge
8;PROF;Colombian Peso Unidad de Valor Real Bridge Handmade;online e-business;systems integrate;Web HTTP;implement;Optimization Cambridgeshire;payment Soap;Web;Outdoors New York Data;Jamaican Dollar North Carolina;Station
9;PROF;invoice teal analyzing;Fantastic;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;wireless;hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;interface Cotton Robust
10;REV;bandwidth;application Configurable iterate;Berkshire navigating;superstructure;streamline;Interactions;Fantastic time-frame Quality;Borders Borders Practical;methodical;Pakistan;parse
