id;description;asset_condition;assessment_date;assessment_remarks;name_of_assessing_staff;name_of_assessment_contractor;current_service_outlet_code;current_physical_address;next_assessment_date;name_of_user;fixed_asset_picture;fixed_asset_picture_content_type;fixed_asset_item_id;estimated_value;estimated_useful_months
1;generate Adaptive black;EXCELLENT;2019-11-07T09:46:25;deposit exuding;Beauty synthesizing;Gorgeous;Beauty web services copying;deposit Mobility;2019-11-08T06:51:42;Directives Baht Tasty Plastic Keyboard;436865636b696e67204163636f756e74;image/png;4574;85241;87153
2;Technician Architect calculate;EXCELLENT;2019-11-08T00:06:55;Small Fresh Gloves;Buckinghamshire compress;Grocery Ball Wells;partnerships Terrace Hat;calculating conglomeration bypassing;2019-11-07T14:46:28;Profound Plastic XSS;54485820436f6f7264696e61746f72;image/png;76009;27421;44229
3;groupware success program;EXCELLENT;2019-11-08T00:28:39;RSS Neck;Mouse fuchsia Licensed;connect;Saint Martin Kids back-end;Automotive;2019-11-07T11:13:19;Savings Account online Avon;457468696f7069616e20426972722061726368697465637475726573;image/png;20052;22554;49159
4;Handcrafted Rubber Gloves;EXCELLENT;2019-11-07T22:55:27;Architect;Health;Jordanian Dinar;Walks Credit Card Account;payment;2019-11-07T15:09:10;Accounts Lead sensor;4865616c7468;image/png;48235;61815;21034
5;efficient back up Tactics;EXCELLENT;2019-11-08T07:12:47;revolutionary Sports Fantastic;benchmark Planner;Solomon Islands Dollar;overriding Rustic Metal Computer Web;circuit;2019-11-08T08:33:50;Communications Generic Granite Gloves;7365616d6c65737320696e646578696e672048616e6463726166746564;image/png;89481;55300;54759
6;synthesizing Manors;EXCELLENT;2019-11-07T15:55:35;Savings Account;Shoes HDD;utilisation;out-of-the-box Pizza;systems Sleek Wooden Towels Clothing;2019-11-07T17:38:38;workforce;7768697465626f617264;image/png;22056;7219;41839
7;white;EXCELLENT;2019-11-07T15:29:50;e-commerce bricks-and-clicks drive;Avon Syrian Arab Republic Borders;web-readiness interface;Auto Loan Account Personal Loan Account;systems zero tolerance Iowa;2019-11-07T11:25:32;grey Investment Account;696e7465726661636520496e766573746f722054756e61;image/png;23754;37284;97139
8;Shirt SDD;EXCELLENT;2019-11-07T23:36:06;Home Loan Account Louisiana;Checking Account Tuna;toolset incentivize;deposit matrices quantify;redefine;2019-11-08T03:38:00;Enterprise-wide SDD;5567616e6461205368696c6c696e6720436f74746f6e;image/png;44943;24871;58788
9;Assurance De-engineered;EXCELLENT;2019-11-07T15:38:55;payment Spur;transmitter Passage SCSI;sky blue Steel;Associate;Denmark;2019-11-07T10:50:37;Generic Wooden Bike;426f7264657273;image/png;4157;68820;14834
10;Architect Developer;EXCELLENT;2019-11-08T01:34:01;Facilitator Minnesota;Borders;open-source Burundi;Music;Metal;2019-11-07T10:45:59;feed;66656564;image/png;15616;44375;23456
