id;transaction_month;asset_serial_tag;service_outlet_code;transaction_id;transaction_details;transaction_amount
1;2019-11-08T07:50:58;digital Ferry;Cambridgeshire;75425;Credit Card Account;29735
2;2019-11-07T09:42:50;Devolved Steel;virtual;26538;Chicken;69161
3;2019-11-08T07:49:37;Borders Manager;Polarised orange Soap;65572;navigating panel;79209
4;2019-11-07T12:02:37;Ports pink;Iraq Buckinghamshire;17688;drive Supervisor Inverse;13380
5;2019-11-07T21:46:11;Jewelery logistical;Belize Dollar sky blue Savings Account;32350;overriding;62929
6;2019-11-07T09:54:05;primary;Sleek Cotton Computer intermediate withdrawal;49933;asynchronous Shoes Wooden;86466
7;2019-11-08T01:31:47;alarm;cross-platform Investment Account;85956;extend Interactions;13314
8;2019-11-07T10:23:39;bluetooth;Quality;80888;Gorgeous stable;93031
9;2019-11-08T08:23:59;Forward;quantifying Borders;38634;Points Polarised Senior;45061
10;2019-11-07T20:52:49;Computer matrix Berkshire;Small Steel Computer synthesize deposit;80213;Small;3557
