id;description;acquisition_month;asset_serial;service_outlet_code;acquisition_transaction_id;asset_category_id;purchase_amount;asset_dealer_id;asset_invoice_id
1;Luxembourg Spurs;2019-11-14;middleware Switzerland;Data Granite Configuration;49211;76891;25824;6623;45913
2;Orchestrator;2019-11-14;concept payment;robust;53726;12887;46011;12804;58476
3;enable;2019-11-14;Mouse Rupiah;Human Mission;66755;97311;17231;60193;19228
4;Licensed Wooden Pants;2019-11-15;Chair Awesome;Kiribati;35599;20633;89421;36426;12874
5;open architecture alliance;2019-11-15;Plaza Bulgarian Lev Cambridgeshire;Regional;6107;259;27687;86830;80620
6;quantify;2019-11-15;sky blue cultivate Bedfordshire;navigate Kiribati;72051;74747;6234;3668;14773
7;Metal;2019-11-14;connecting generate Music;Inlet Hungary Configurable;26924;73740;37728;18228;2007
8;software blue;2019-11-15;Concrete National;Ranch impactful;64882;49844;47958;8692;58419
9;pixel Pennsylvania;2019-11-14;Connecticut empower;customized payment;57077;24435;35609;49824;98651
10;Personal Loan Account;2019-11-15;Intelligent;24/7;48780;16068;85081;18656;8788
