id;service_outlet_code;service_outlet_designation;description;location
1;Plastic Movies;SMS;Zimbabwe parse Customer;input Accounts
2;enhance Multi-channelled purple;Response;white SMTP;Checking Account global Steel
3;Borders Springs connecting;SAS;Planner Refined;engage Granite Grocery
4;bluetooth payment digital;Rubber Industrial seamless;withdrawal Jamaica;International
5;Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;Business-focused Canyon Orchestrator
6;frictionless orchid;Future-proofed Awesome;Creek;Shirt Metal
7;Mouse Rupiah;Human Mission;Officer Savings Account Automated;Pants even-keeled Chair
8;Brazil;Island cyan;Granite open architecture;Ergonomic Soft Shoes
9;Bulgarian Lev Cambridgeshire;Regional;Home;primary quantify Chips
10;Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;feed
